dateRatio,wordlen_mean,rangeRatio,floatRatio,zero_flag,intRatio,alphaNumRatio,alphaRatio,frac_unique_sample,flag_numcells,master_id,id,dataset_name,table_name,column_name,table_name_clean,column_name_clean,start_time,end_time,execution_time
0.0,3.4172185430463577,0.0,0.0,0,0.0,0.013245033112582781,0.9867549668874173,1.0,0.013245033112582781,web_data_common$$##$$10151359_0_8168779773862259178$$##$$title,0,web_data_common,10151359_0_8168779773862259178,Title,10151359 0 8168779773862259178,Title,2024-03-13 20:09:46.469945,2024-03-13 20:09:58.876849,0 days 00:00:12.406904
0.006622516556291391,2.2649006622516556,0.0,0.0,0,0.0,0.0,1.0,0.7682119205298014,0.0,web_data_common$$##$$10151359_0_8168779773862259178$$##$$author,1,web_data_common,10151359_0_8168779773862259178,Author,10151359 0 8168779773862259178,Author,2024-03-13 20:09:46.469945,2024-03-13 20:09:58.876849,0 days 00:00:12.406904
0.0,1.2582781456953642,0.0,0.0,0,0.0,0.19205298013245034,0.8079470198675497,0.2185430463576159,0.19205298013245034,web_data_common$$##$$10151359_0_8168779773862259178$$##$$source,2,web_data_common,10151359_0_8168779773862259178,Source,10151359 0 8168779773862259178,Source,2024-03-13 20:09:46.469945,2024-03-13 20:09:58.876849,0 days 00:00:12.406904
0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,web_data_common$$##$$10579449_0_1681126353774891032$$##$$unknown_0,3,web_data_common,10579449_0_1681126353774891032,unknown_0,10579449 0 1681126353774891032,unknown 0,2024-03-13 20:09:46.469945,2024-03-13 20:09:58.876849,0 days 00:00:12.406904
0.0,2.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,web_data_common$$##$$10579449_0_1681126353774891032$$##$$media,4,web_data_common,10579449_0_1681126353774891032,Media,10579449 0 1681126353774891032,Media,2024-03-13 20:09:46.469945,2024-03-13 20:09:58.876849,0 days 00:00:12.406904
0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.8,1.0,web_data_common$$##$$10579449_0_1681126353774891032$$##$$mix,5,web_data_common,10579449_0_1681126353774891032,MIX,10579449 0 1681126353774891032,Mix,2024-03-13 20:09:46.469945,2024-03-13 20:09:58.876849,0 days 00:00:12.406904
0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,web_data_common$$##$$10630177_0_4831842476649004753$$##$$unknown_0,6,web_data_common,10630177_0_4831842476649004753,unknown_0,10630177 0 4831842476649004753,unknown 0,2024-03-13 20:09:46.469945,2024-03-13 20:09:58.876849,0 days 00:00:12.406904
0.0,4.16,0.0,0.0,0,0.0,0.16,0.84,0.995,0.16,web_data_common$$##$$10630177_0_4831842476649004753$$##$$geb?ude,7,web_data_common,10630177_0_4831842476649004753,Geb?ude,10630177 0 4831842476649004753,Ge bud e,2024-03-13 20:09:46.469945,2024-03-13 20:09:58.876849,0 days 00:00:12.406904
0.0,1.31,0.0,0.0,0,0.0,0.0,1.0,0.3,0.0,web_data_common$$##$$10630177_0_4831842476649004753$$##$$stadt,9,web_data_common,10630177_0_4831842476649004753,Stadt,10630177 0 4831842476649004753,St ad t,2024-03-13 20:09:46.469945,2024-03-13 20:09:58.876849,0 days 00:00:12.406904
0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.27,1.0,web_data_common$$##$$10630177_0_4831842476649004753$$##$$etagen,10,web_data_common,10630177_0_4831842476649004753,Etagen,10630177 0 4831842476649004753,Et a gen,2024-03-13 20:09:46.469945,2024-03-13 20:09:58.876849,0 days 00:00:12.406904
